time,value
2024-04-17T21:03:10.686226462Z,770
2024-04-17T21:03:11.812892939Z,766
2024-04-17T21:03:12.938894484Z,769
2024-04-17T21:03:14.065894939Z,762
2024-04-17T21:03:15.193198779Z,768
2024-04-17T21:03:16.318796503Z,764
2024-04-17T21:03:17.444389747Z,768
2024-04-17T21:03:18.571117724Z,769
2024-04-17T21:03:19.801020706Z,768
2024-04-17T21:03:20.824408559Z,764
2024-04-17T21:03:21.95124422Z,769
2024-04-17T21:03:23.076457628Z,769
2024-04-17T21:03:24.202703788Z,760
2024-04-17T21:03:25.329286884Z,766
2024-04-17T21:03:26.456070354Z,769
2024-04-17T21:03:27.582246811Z,769
2024-04-17T21:03:28.708554748Z,768
2024-04-17T21:03:29.835122144Z,752
2024-04-17T21:03:30.961468495Z,768
2024-04-17T21:03:32.087816826Z,766
2024-04-17T21:03:33.214312146Z,766
2024-04-17T21:03:34.34143989Z,763
2024-04-17T21:03:35.467012892Z,767
2024-04-17T21:03:36.593801924Z,764
2024-04-17T21:03:37.719857652Z,770
2024-04-17T21:03:38.84729867Z,764
2024-04-17T21:03:39.972717933Z,770
2024-04-17T21:03:41.09908189Z,776
2024-04-17T21:03:42.225885703Z,771
2024-04-17T21:03:43.352335874Z,763
2024-04-17T21:03:44.376150925Z,769
2024-04-17T21:03:45.604829166Z,764
2024-04-17T21:03:46.629234507Z,770
2024-04-17T21:03:47.857334408Z,767
2024-04-17T21:03:48.882217341Z,766
2024-04-17T21:03:50.110285141Z,767
2024-04-17T21:03:51.134434891Z,771
2024-04-17T21:03:52.260634575Z,766
2024-04-17T21:03:53.387137999Z,772
2024-04-17T21:03:54.513635584Z,767
2024-04-17T21:03:55.63969892Z,773
2024-04-17T21:03:56.766462436Z,765
2024-04-17T21:03:57.892715849Z,771
2024-04-17T21:03:59.020017339Z,767
2024-04-17T21:04:00.228006649Z,771
2024-04-17T21:04:01.272346444Z,769
2024-04-17T21:04:02.401141424Z,759
2024-04-17T21:04:03.525563554Z,771
2024-04-17T21:04:04.65355316Z,767
2024-04-17T21:04:05.778233972Z,765
2024-04-17T21:04:06.904211643Z,771
2024-04-17T21:04:08.031082621Z,764
2024-04-17T21:04:09.157346646Z,769
2024-04-17T21:04:10.283830173Z,772
2024-04-17T21:04:11.409617507Z,772
2024-04-17T21:04:12.535971389Z,767
2024-04-17T21:04:13.662311142Z,769
2024-04-17T21:04:14.789471599Z,765
2024-04-17T21:04:15.915120815Z,768
2024-04-17T21:04:17.041579195Z,763
2024-04-17T21:04:18.167987959Z,765
2024-04-17T21:04:19.294518577Z,763
2024-04-17T21:04:20.422472638Z,771
2024-04-17T21:04:21.547166262Z,765
2024-04-17T21:04:22.572412917Z,766
2024-04-17T21:04:23.800181108Z,763
2024-04-17T21:04:24.824578323Z,768
2024-04-17T21:04:25.950489533Z,766
2024-04-17T21:04:27.077386575Z,771
2024-04-17T21:04:28.203848887Z,766
2024-04-17T21:04:29.329880858Z,768
2024-04-17T21:04:30.456356045Z,763
2024-04-17T21:04:31.582647235Z,769
2024-04-17T21:04:32.70895047Z,763
2024-04-17T21:04:33.835633356Z,768
2024-04-17T21:04:34.961663524Z,766
2024-04-17T21:04:36.088333649Z,767
2024-04-17T21:04:37.215430919Z,767
2024-04-17T21:04:38.341230388Z,768
2024-04-17T21:04:39.467131956Z,762
2024-04-17T21:04:40.595396205Z,760
2024-04-17T21:04:41.822767792Z,770
2024-04-17T21:04:42.847310363Z,761
2024-04-17T21:04:43.972974273Z,757
2024-04-17T21:04:45.10098493Z,771
2024-04-17T21:04:46.226564787Z,765
2024-04-17T21:04:47.352794651Z,767
2024-04-17T21:04:48.478936495Z,767
2024-04-17T21:04:49.607329385Z,768
2024-04-17T21:04:50.732248862Z,764
2024-04-17T21:04:51.858382857Z,769
2024-04-17T21:04:52.987345921Z,765
2024-04-17T21:04:54.111385013Z,770
2024-04-17T21:04:55.237071349Z,765
2024-04-17T21:04:56.363641905Z,772
2024-04-17T21:04:57.489854884Z,763
2024-04-17T21:04:58.514445207Z,765
2024-04-17T21:04:59.744216088Z,768
2024-04-17T21:05:00.766703575Z,770
2024-04-17T21:05:01.995626139Z,764
2024-04-17T21:05:03.019610729Z,771
2024-04-17T21:05:04.1460393Z,764
2024-04-17T21:05:05.27276947Z,769
2024-04-17T21:05:06.398781755Z,766
2024-04-17T21:05:07.52574302Z,769
2024-04-17T21:05:08.65165347Z,767
2024-04-17T21:05:09.778603717Z,767
2024-04-17T21:05:10.904332356Z,769
2024-04-17T21:05:12.031006388Z,768
2024-04-17T21:05:13.156980305Z,772
2024-04-17T21:05:14.284354599Z,771
2024-04-17T21:05:15.410529606Z,769
2024-04-17T21:05:16.537091552Z,767
2024-04-17T21:05:17.663308707Z,769
2024-04-17T21:05:18.789310721Z,770
2024-04-17T21:05:19.915525543Z,763
2024-04-17T21:05:21.042734011Z,769
2024-04-17T21:05:22.168420912Z,757
2024-04-17T21:05:23.295671057Z,775
2024-04-17T21:05:24.421652823Z,765
2024-04-17T21:05:25.551801534Z,768
2024-04-17T21:05:26.674966972Z,766
2024-04-17T21:05:27.80123138Z,771
2024-04-17T21:05:28.927231341Z,764
2024-04-17T21:05:30.053791731Z,768
2024-04-17T21:05:31.179882669Z,760
2024-04-17T21:05:32.306086828Z,768
2024-04-17T21:05:33.432321585Z,768
2024-04-17T21:05:34.559290628Z,768
2024-04-17T21:05:35.685111981Z,764
2024-04-17T21:05:36.709332646Z,766
2024-04-17T21:05:37.938305296Z,764
2024-04-17T21:05:38.962629548Z,769
2024-04-17T21:05:40.093616325Z,766
2024-04-17T21:05:41.215784021Z,771
2024-04-17T21:05:42.341458206Z,757
2024-04-17T21:05:43.467655736Z,773
2024-04-17T21:05:44.594645365Z,765
2024-04-17T21:05:45.720631275Z,766
2024-04-17T21:05:46.847190622Z,767
2024-04-17T21:05:47.973908123Z,764
2024-04-17T21:05:49.100157537Z,769
2024-04-17T21:05:50.226115128Z,770
2024-04-17T21:05:51.456183698Z,768
2024-04-17T21:05:52.480205559Z,770
2024-04-17T21:05:53.605373572Z,767
2024-04-17T21:05:54.73231805Z,763
2024-04-17T21:05:55.859256969Z,768
2024-04-17T21:05:56.984815901Z,769
2024-04-17T21:05:58.110888932Z,758
2024-04-17T21:05:59.237652783Z,768
2024-04-17T21:06:00.364065196Z,768
2024-04-17T21:06:01.490743101Z,770
2024-04-17T21:06:02.616644606Z,763
2024-04-17T21:06:03.743504772Z,763
2024-04-17T21:06:04.869714336Z,765
2024-04-17T21:06:05.996132856Z,769
2024-04-17T21:06:07.122520819Z,763
2024-04-17T21:06:08.248746818Z,770
2024-04-17T21:06:09.37502059Z,769
2024-04-17T21:06:10.502153397Z,769
2024-04-17T21:06:11.627881545Z,762
2024-04-17T21:06:12.651803286Z,767
2024-04-17T21:06:13.881958096Z,755
2024-04-17T21:06:14.904881431Z,774
2024-04-17T21:06:16.031682335Z,763
2024-04-17T21:06:17.157843706Z,769
2024-04-17T21:06:18.390472162Z,762
2024-04-17T21:06:19.410562797Z,765
2024-04-17T21:06:20.537004895Z,763
2024-04-17T21:06:21.767526082Z,768
2024-04-17T21:06:22.789842972Z,766
2024-04-17T21:06:23.915681984Z,771
2024-04-17T21:06:25.042556173Z,765
2024-04-17T21:06:26.168971748Z,769
2024-04-17T21:06:27.294999963Z,765
2024-04-17T21:06:28.421472563Z,770
2024-04-17T21:06:29.548031144Z,771
2024-04-17T21:06:30.674512209Z,763
2024-04-17T21:06:31.801394011Z,768
2024-04-17T21:06:32.927164997Z,767
2024-04-17T21:06:34.053577789Z,770
2024-04-17T21:06:35.179957413Z,768
2024-04-17T21:06:36.306607426Z,757
2024-04-17T21:06:37.432934474Z,769
2024-04-17T21:06:38.559622582Z,790
2024-04-17T21:06:39.685885379Z,769
2024-04-17T21:06:40.81241919Z,764
2024-04-17T21:06:41.938587525Z,769
2024-04-17T21:06:43.065004811Z,771
2024-04-17T21:06:44.191316875Z,767
2024-04-17T21:06:45.318132949Z,764
2024-04-17T21:06:46.444131726Z,769
2024-04-17T21:06:47.570668313Z,764
2024-04-17T21:06:48.696884744Z,771
